Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV308;Ålesund;;;;;;;;;;;;;
PROV12;Liwa;;;;;;;;;;;;;
AFG_1212;Herat;;;;;;;;;;;;;
PROV2519;Maymana;;;;;;;;;;;;;
PROV837;Mesolongi;;;;;;;;;;;;;
PROV836;Lamía;;;;;;;;;;;;;
PROV839;Náfplion;;;;;;;;;;;;;
PROV840;Kórinthos;;;;;;;;;;;;;
PROV368;Skive;;;;;;;;;;;;;
PROV2548;Tsolakert;;;;;;;;;;;;;
PROV1179;al-Hudaydah;;;;;;;;;;;;;
PROV1841;al-Fashir;;;;;;;;;;;;;
PROV928;Rewanduz;;;;;;;;;;;;;
PROV369;Kil;;;;;;;;;;;;
PROV370;Flansborj;;;;;;;;;;;;
PROV2754;Numidian Coast;;;;;;;;;;;;
PROV2755;African Cape;;;;;;;;;;;;
PROV2756;Tirreno Sea;;;;;;;;;;;;
PROV2758;Gulf of Capsa;;;;;;;;;;;;
PROV2759;Màlitu Channel;;;;;;;;;;;;
PROV2760;Straits of Missenu;;;;;;;;;;;;
PROV2761;Gulf of Venèzia;;;;;;;;;;;;
PROV2762;Adriâtic Sea;;;;;;;;;;;;
PROV2763;Straits of Hudroûs;;;;;;;;;;;;
PROV2764;Gulf of Táras;;;;;;;;;;;;
PROV371;Affenre;;;;;;;;;;;;;
PROV2557;Esbjörg;;;;;;;;;;;;;
PROV2757;Bay of Napoli;;;;;;;;;;;;
PROV2196;Brus Laguna;;;;;;;;;;;;;
PROV1091;Tskhinval;;;;;;;;;;;;;
PROV2712;Skagerrak;;;;;;;;;;;;;
PROV2711;Kattegat;;;;;;;;;;;;;
PROV433;Montbéliard;;;;;;;;;;;;;
PROV946;Lepiel;;;;;;;;;;;;;
PROV947;Maladzyechna;;;;;;;;;;;;;
PROV940;Brest-Litovsk;;;;;;;;;;;;;
PROV937;Pruzhany;;;;;;;;;;;;;
PROV939;Pinsk;;;;;;;;;;;;;
PROV509;Ispale;;;;;;;;;;;;;
PROV479;Burgo;;;;;;;;;;;;
PROV481;Orie;;;;;;;;;;;;
PROV484;Emerite;;;;;;;;;;;;
PROV485;Ambroce;;;;;;;;;;;;
PROV486;Cecidda;;;;;;;;;;;;
PROV506;Cartagine Noa;;;;;;;;;;;;
PROV508;Celtaba;;;;;;;;;;;;
PROV510;Cortuba;;;;;;;;;;;;
PROV511;Onuba;;;;;;;;;;;;
PROV512;Sa Gadira;;;;;;;;;;;;
PROV513;Ilibere;;;;;;;;;;;;
PROV514;Malaga;;;;;;;;;;;;
PROV515;Orci;;;;;;;;;;;;
PROV516;Orancu;;;;;;;;;;;;
PROV517;Mont Eracle;;;;;;;;;;;;
PROV518;Portugal;;;;;;;;;;;;
PROV519;Dourocida;;;;;;;;;;;;
PROV520;Cavazulia;;;;;;;;;;;;
PROV522;Eminiu;;;;;;;;;;;;
PROV523;Orante;;;;;;;;;;;;
PROV524;Setobriga;;;;;;;;;;;;
PROV525;Eboracu;;;;;;;;;;;;
PROV526;Paca;;;;;;;;;;;;
PROV527;Osonoba;;;;;;;;;;;;
PROV677;Kabuksenula;;;;;;;;;;;;;
PROV834;Athína;;;;;;;;;;;;;
PROV819;Junagadh;;;;;;;;;;;;
PROV820;Grevená;;;;;;;;;;;;
PROV821;Édessa;;;;;;;;;;;;
PROV822;Polýgyros;;;;;;;;;;;;
PROV824;Ioánnina;;;;;;;;;;;;
PROV826;Kérkyra;;;;;;;;;;;;
PROV827;Tzánte;;;;;;;;;;;;
PROV830;Xilotepec;;;;;;;;;;;;
PROV831;Lárisa;;;;;;;;;;;;
PROV832;Vólos;;;;;;;;;;;;
PROV833;Tríkala;;;;;;;;;;;;
PROV835;Ámfissa;;;;;;;;;;;;
PROV838;Halkídha;;;;;;;;;;;;
PROV841;Kalamáta;;;;;;;;;;;;
PROV842;Pátra;;;;;;;;;;;;
PROV844;Ilimli;;;;;;;;;;;;
PROV845;Kykládes;;;;;;;;;;;;
PROV846;Dodekánisa;;;;;;;;;;;;
PROV847;Chaniá;;;;;;;;;;;;
PROV848;Irákleio;;;;;;;;;;;;
PROV1680;Metugare;;;;;;;;;;;;
PROV1681;Utzane;;;;;;;;;;;;
PROV1682;Ulubile;;;;;;;;;;;;
PROV1683;Castelmicines;;;;;;;;;;;;
PROV1684;Lemnu;;;;;;;;;;;;
PROV1685;Tzadda;;;;;;;;;;;;
PROV1686;Tingi;;;;;;;;;;;;
PROV1687;Tamuda;;;;;;;;;;;;
PROV1688;Rusadir;;;;;;;;;;;;
PROV1689;Melilla;Melilla;Melilla;;Melilla;;;;;;;;
PROV1690;Muraccuz;;;;;;;;;;;;
PROV1691;Anfa;;;;;;;;;;;;
PROV1692;Isaie;;;;;;;;;;;;
PROV1693;Arambe;;;;;;;;;;;;
PROV1694;Sa Gadira Noa;;;;;;;;;;;;
PROV1695;Sant Grutze;;;;;;;;;;;;
PROV1697;Ifeyyey;;;;;;;;;;;;
PROV1698;Oasidare;;;;;;;;;;;;
PROV1699;Uartzatzat;;;;;;;;;;;;
PROV2563;Sa Sfia;;;;;;;;;;;;
PROV1700;Icosiu;;;;;;;;;;;;
PROV1701;Arena;;;;;;;;;;;;
PROV1702;Setife;;;;;;;;;;;;
PROV1703;Sa Mesa;;;;;;;;;;;;
PROV1813;Rusugari;;;;;;;;;;;;;
PROV1704;Arsenare;;;;;;;;;;;;
PROV1705;Rusigan;;;;;;;;;;;;
PROV1706;Murustaga;;;;;;;;;;;;
PROV1707;Mina;;;;;;;;;;;;
PROV1708;Antina;;;;;;;;;;;;
PROV1710;Ecatonpilas;;;;;;;;;;;;
PROV1711;Tedjahert;Tedjahert;Tedjahert;;Tedjahert;;;;;;;;
PROV1712;Laghouat;Laghouat;Laghouat;;Laghouat;;;;;;;;
PROV1713;Djelfa;Djelfa;Djelfa;;Djelfa;;;;;;;;
PROV1715;Naama;Na?a;Naama;;Naama;;;;;;;;
PROV1717;Biscera;;;;;;;;;;;;;
REMOVE_PROV1723;Colon;Canal de Panama ;Panamakanal;;Col?;;;;;;;;
PROV1721;Sant'Austiniu;;;;;;;;;;;;;
PROV1725;Cartagine;;;;;;;;;;;;
PROV1726;Ippotzartu;;;;;;;;;;;;
PROV1727;Tacape;;;;;;;;;;;;
PROV1728;Ruspina;;;;;;;;;;;;
PROV1729;Tuseru;;;;;;;;;;;;
PROV1730;Capsa;;;;;;;;;;;;
PROV1731;Oia;;;;;;;;;;;;
PROV1732;Tabalati;;;;;;;;;;;;
PROV1733;Tubacte;;;;;;;;;;;;
PROV1734;Sirt;Sirt;Sirt;;Sirte;;;;;;;;
PROV1735;Benghazi;Benghazi;Benghazi;;Bengasi;;;;;;;;
PROV1736;Darna;Darna;Darna;;Darna;;;;;;;;
PROV1737;Tobruk;Tobrouk;Tobruk;;Tobruk;;;;;;;;
PROV1741;Murzuk;Murzuk;Murzuk;;Murzuq;;;;;;;;
PROV3293;Smpadapert;;;;;;;;;;;;;
PROV3294;Verinkghzin;;;;;;;;;;;;;
PROV1117;Sanandaj;;;;;;;;;;;;;
PROV1118;Saqqez;;;;;;;;;;;;;
PROV673;Seliava;;;;;;;;;;;;;
PROV3286;Heves;;;;;;;;;;;;;
PROV2638;Zabul;;;;;;;;;;;;;
PROV3258;Kech;;;;;;;;;;;;;
PROV613;Soizbuag;;;;;;;;;;;;
PROV615;Lianz;;;;;;;;;;;;
PROV617;Szerethely;;;;;;;;;;;;
PROV622;Linz;;;;;;;;;;;;
PROV623;Sopron;;;;;;;;;;;;
PROV624;Vas;;;;;;;;;;;;
PROV627;Karlsbad;;;;;;;;;;;;
PROV639;Zalaegerszeg;;;;;;;;;;;;
PROV640;Pécs;;;;;;;;;;;;
PROV642;Gyor;;;;;;;;;;;;
PROV643;Fehérvár;;;;;;;;;;;;
PROV644;Kaposvár;;;;;;;;;;;;
PROV645;Kunságvár;;;;;;;;;;;;
PROV646;Miskolc;;;;;;;;;;;;
PROV648;Debrecen;;;;;;;;;;;;
PROV649;Szeged;;;;;;;;;;;;
PROV650;Szolnok;;;;;;;;;;;;
PROV653;Hidegfürdovár;;;;;;;;;;;;
PROV1210;Faizabad;;;;;;;;;;;;;
PROV8;Kuala Kelantan;;;;;;;;;;;;;
PROV10;San Khew Jong;;;;;;;;;;;;;
PROV769;Postumia;;;;;;;;;;;;
PROV770;Puola;;;;;;;;;;;;
PROV771;Szepreg;;;;;;;;;;;;
PROV773;Lajosvár;;;;;;;;;;;;
PROV774;Lovagokvár;;;;;;;;;;;;
PROV775;Csáktornya;;;;;;;;;;;;
PROV776;Akardáltal;;;;;;;;;;;;
PROV777;Völgyszíve;;;;;;;;;;;;
PROV778;Tarsata;;;;;;;;;;;;
PROV779;Baranya;;;;;;;;;;;;
PROV780;Spálathos;;;;;;;;;;;;
PROV781;Idassa;;;;;;;;;;;;
PROV782;Epídavros;;;;;;;;;;;;
PROV783;Theioúchoneró;;;;;;;;;;;;
PROV785;Fürdorét;;;;;;;;;;;;
PROV786;Salínes;;;;;;;;;;;;
PROV787;Trapezítes;;;;;;;;;;;;
PROV788;Mégistos;;;;;;;;;;;;
PROV789;Ekthesi;;;;;;;;;;;;
PROV2569;Antérmpa;;;;;;;;;;;;
PROV790;Kitwe;;;;;;;;;;;;
PROV791;Folyóvízátkelés;;;;;;;;;;;;
PROV793;Valkóvár;;;;;;;;;;;;
PROV794;Sindeníon;;;;;;;;;;;;
PROV795;Bor;;;;;;;;;;;;
PROV796;Márkous;;;;;;;;;;;;
PROV797;Capafúri;;;;;;;;;;;;
PROV798;Naissos;;;;;;;;;;;;
PROV799;Leskovac;;;;;;;;;;;;
PROV800;Ulqin;;;;;;;;;;;;
PROV801;Tahiti;;;;;;;;;;;;
PROV802;Oulpiána;;;;;;;;;;;;
PROV803;Prizreni;;;;;;;;;;;;
PROV804;Treguiri;;;;;;;;;;;;
PROV633;Pozsony;;;;;;;;;;;;;
PROV634;Erdohát;;;;;;;;;;;;;
PROV635;Élyegety;;;;;;;;;;;;;
PROV636;Kiválasztvár;;;;;;;;;;;;;
PROV647;Nagyvárad;;;;;;;;;;;;;
PROV651;Nagykároly;;;;;;;;;;;;;
PROV652;Temesvár;;;;;;;;;;;;;
PROV654;Favázasvár;;;;;;;;;;;;;
PROV655;Gyulafehérvár;;;;;;;;;;;;;
PROV656;Gézafehérvár;;;;;;;;;;;;;
PROV659;Koronavár;;;;;;;;;;;;;
PROV660;Sepsiszentgyörgy;;;;;;;;;;;;;
PROV661;Árpádvár;;;;;;;;;;;;;
PROV701;Gniezno;;;;;;;;;;;;;
PROV767;Celeina;;;;;;;;;;;;;
PROV768;Labacia;;;;;;;;;;;;;
PROV772;Agyozelhely;;;;;;;;;;;;;
PROV792;Mélymocsarak;;;;;;;;;;;;;
PROV951;Folyóvár;;;;;;;;;;;;;
PROV953;Varjakvár;;;;;;;;;;;;;
PROV980;Lugansk;;;;;;;;;;;;;
PROV993;Vytegra;;;;;;;;;;;;;
PROV1023;Kostroma;;;;;;;;;;;;;
PROV1038;Novy Uzen;;;;;;;;;;;;;
PROV1046;Nizhnechirskaya;;;;;;;;;;;;;
PROV1090;Tiflis;;;;;;;;;;;;;
PROV1092;Kutais;;;;;;;;;;;;;
PROV1095;Sukhum;;;;;;;;;;;;;
PROV2533;Vasarhely;;;;;;;;;;;;;
PROV2538;Újvidék;;;;;;;;;;;;;
PROV2577;Berana;;;;;;;;;;;;;
PROV2584;Fehérfol;;;;;;;;;;;;;
PROV3275;Kapoea;;;;;;;;;;;;;
PROV3276;Látogatóld;;;;;;;;;;;;;
PROV3277;Hlucin;;;;;;;;;;;;;
PROV3278;Manifa;;;;;;;;;;;;;
PROV3281;Wschowa;;;;;;;;;;;;;
PROV3282;Szombathely;;;;;;;;;;;;;
PROV3283;Nemesfehérvár;;;;;;;;;;;;;
PROV3284;Tehuantepec;;;;;;;;;;;;;
PROV3285;Nyíregyháza;;;;;;;;;;;;;
PROV3287;Baldolzu;;;;;;;;;;;;;
PROV3288;Tarvis;;;;;;;;;;;;;
PROV3289;Építenújra;;;;;;;;;;;;;
PROV3280;Edmundston;;;;;;;;;;;;;
PROV3290;Bosilegrad;;;;;;;;;;;;;
PROV3291;Strumica;;;;;;;;;;;;;
PROV521;Ulisibu;;;;;;;;;;;;;
RUS_994;Ingriya;;;;;;;;;;;;;
PROV3274;Svaneti;;;;;;;;;;;;;
PROV2095;Dithakong;;;;;;;;;;;;;
SWI_603;Mittelland;;;;;;;;;;;;;
SWI_607;Waadt;;;;;;;;;;;;;
SWI_2568;Lemosin;;;;;;;;;;;;;
FRA_463;Gothalaunia;;;;;;;;;;;;
FRA_461;Lengadòc;;;;;;;;;;;;
PROV3273;Rumah;;;;;;;;;;;;;
PROV3270;Schaumborg;;;;;;;;;;;;;
PROV3271;Alb;;;;;;;;;;;;;
PROV3272;Brig;;;;;;;;;;;;;
BEL_387;Vlaanderen;;;;;;;;;;;;;
BEL_394;Wallonie;;;;;;;;;;;;;
PROV609;Sittu;;;;;;;;;;;;;
PROV1623;Songjin;;;;;;;;;;;;;
PROV388;Brugske;;;;;;;;;;;;;
PROV389;Gint;;;;;;;;;;;;;
PROV390;Antwerpen;;;;;;;;;;;;;
PROV3269;Portsmouth;;;;;;;;;;;;;
PROV3268;Exeter;;;;;;;;;;;;;
PROV3267;Bielefield;;;;;;;;;;;;;
PROV3266;Rémin;;;;;;;;;;;;;
PROV3265;Essen;;;;;;;;;;;;;
PROV567;Gießen;;;;;;;;;;;;;
PROV432;Bisanz;;;;;;;;;;;;
FRA_432;Franche-Comté;;;;;;;;;;;;;
FRA_411;Lorraine;;;;;;;;;;;;;
FRA_406;Champagne;;;;;;;;;;;;;
PROV3263;Fort William;;;;;;;;;;;;;
PROV3264;Nicobar Islands;;;;;;;;;;;;;
PROV861;Scutari;;;;;;;;;;;;;
PROV828;Xochitepec;;;;;;;;;;;;;
PROV860;Kostantiniye;;;;;;;;;;;;;
PROV869;Smyrna;;;;;;;;;;;;;
RUS_1008;Moskva;;;;;;;;;;;;;
PROV958;Kyiv;;;;;;;;;;;;;
PROV603;Züri;;;;;;;;;;;;;
PROV1017;Oryol;;;;;;;;;;;;;
PROV1008;Moskva;;;;;;;;;;;;;
PROV372;København;;;;;;;;;;;;;
PROV809;Sofiya;;;;;;;;;;;;;
PROV618;Vallanemrosa;;;;;;;;;;;;
PROV619;Bécs;;;;;;;;;;;;;
PROV620;Bélavár;;;;;;;;;;;;
PROV621;Szentszék;;;;;;;;;;;;
RUS_958;Kyiv;;;;;;;;;;;;;
PROV978;Kharkiv;;;;;;;;;;;;;
PROV473;Còssiga;;;;;;;;;;;;
PROV605;Bärn;;;;;;;;;;;;
PROV744;Fiuränza;;;;;;;;;;;;;
PROV749;Råmma;;;;;;;;;;;;;
PROV724;Gêna;;;;;;;;;;;;;
PROV726;Milà;;;;;;;;;;;;;
PROV754;Napoli;;;;;;;;;;;;;
PROV729;Venèzia;;;;;;;;;;;;;
PROV720;Turin;;;;;;;;;;;;;
PROV731;Padoa;;;;;;;;;;;;;
PROV722;Noara;;;;;;;;;;;;
PROV723;Aleissandrìo;;;;;;;;;;;;
PROV725;Savouno;;;;;;;;;;;;
PROV727;Bèrghem;;;;;;;;;;;;
PROV728;Brèsa;;;;;;;;;;;;
PROV730;Verùna;;;;;;;;;;;;
PROV732;Treviso;;;;;;;;;;;;
PROV736;Tergeste;;;;;;;;;;;;
PROV737;Accilenia;;;;;;;;;;;;
PROV738;Pärma;;;;;;;;;;;;
PROV739;Mòdna;;;;;;;;;;;;
PROV740;Masa;;;;;;;;;;;;
PROV741;Bologna;;;;;;;;;;;;
PROV742;Ferara;;;;;;;;;;;;
PROV743;Ravena;;;;;;;;;;;;
PROV746;Locca;;;;;;;;;;;;
PROV747;Séna;;;;;;;;;;;;
PROV750;Veterbe;;;;;;;;;;;;
PROV751;Perugia;;;;;;;;;;;;
PROV752;Ancona;;;;;;;;;;;;
PROV753;Abrózz;;;;;;;;;;;;
PROV755;Benevento;;;;;;;;;;;;
PROV756;Bárion;;;;;;;;;;;;
PROV757;Fògge;;;;;;;;;;;;
PROV758;Táras;;;;;;;;;;;;
PROV759;Calàbriu;;;;;;;;;;;;
PROV760;Leukania;;;;;;;;;;;;
PROV761;Poténtsa;;;;;;;;;;;;
PROV762;Pánermu;;;;;;;;;;;;
PROV763;Missenu;;;;;;;;;;;;
PROV764;Catániu;;;;;;;;;;;;
PROV765;Casteddu;;;;;;;;;;;;
PROV766;Tàtari;;;;;;;;;;;;
PROV854;Màlitu;;;;;;;;;;;;
PROV2567;Gaieta;;;;;;;;;;;;
PROV2721;Heligoland Bight;;;;;;;;;;;;;
RUS_959;Volyn;;;;;;;;;;;;;
druze;Druze;;;;;;;;;;;;;
PROV910;Azraq;;;;;;;;;;;;;
PROV2582;Askrívion;;;;;;;;;;;;;
PROV2583;Ketígni;;;;;;;;;;;;
PROV1839;al-Fula;;;;;;;;;;;;;
PROV1806;Bayuda;;;;;;;;;;;;;
PROV2046;Mbeya;;;;;;;;;;;;;
PROV1850;Keren;;;;;;;;;;;;;
AUS_733;Friuli;;;;;;;;;;;;;
PAP_741;Romagna;;;;;;;;;;;;;
RMG_725;Ligurie;;;;;;;;;;;;;
mining_district;Mining District;;;;;;;;;;;;;
new_world_semidesert;Desert Scrublands;;;;;;;;;;;;;
new_world_desert;Desert;;;;;;;;;;;;;
new_world_boreal;Taiga;;;;;;;;;;;;;
new_world_montane_tundra;Alpine Tundra;;;;;;;;;;;;;
new_world_arctic;Tundra;;;;;;;;;;;;;
new_world_mountain;Montane Grassland;;;;;;;;;;;;;
new_world_jungle;Jungle;;;;;;;;;;;;;
new_world_plains;Grassland;;;;;;;;;;;;;
new_world_small_island;Island;;;;;;;;;;;;;
arid_climate;Arid Climate;;;;;;;;;;;;;
CANAL_6;English Channel;;;;;;;;;;;;;
GRE_837;Stereá Elláda;;;;;;;;;;;;;
GRE_826;Peloponnisos;;;;;;;;;;;;;
#EGY_846;Nisiá Aigaíou;;;;;;;;;;;;;
PROV2669;Samignun;;;;;;;;;;;;;
PROV3262;Belùn;;;;;;;;;;;;;
PROV3261;Mulìs;;;;;;;;;;;;;
PROV2351;Magdalena;;;;;;;;;;;;;
PROV3260;Sado;;;;;;;;;;;;;
PROV1531;Új Szegfusziget;;;;;;;;;;;;;
PROV2537;Görbesziget;;;;;;;;;;;;;
PROV158;Grand Portage;;;;;;;;;;;;;
PROV29;Kyzylkum;;;;;;;;;;;;;
PROV531;Stood;;;;;;;;;;;;
PROV2595;Nunavut;;;;;;;;;;;;;
PROV25;Old Bow Fort;;;;;;;;;;;;;
PROV6;Selkirk;;;;;;;;;;;;;
PROV35;Fort Pitt;;;;;;;;;;;;;
PROV28;Jasper;;;;;;;;;;;;;
PROV26;Rocky Mountain House;;;;;;;;;;;;;
PROV22;Buckingham House;;;;;;;;;;;;;
PROV24;Etzikom Coulee;;;;;;;;;;;;;
PROV34;Fort Carlton;;;;;;;;;;;;;
PROV33;Battleford;;;;;;;;;;;;;
PROV41;Fort Ellice;;;;;;;;;;;;;
PROV30;Chimney Coulee;;;;;;;;;;;;;
PROV2594;Osnaburgh House;;;;;;;;;;;;;
PROV49;Rat Portage;;;;;;;;;;;;;
PROV52;Orillia;;;;;;;;;;;;;
