Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV657;Eperjes;;;;;;;;;;;;;
PROV911;Bayir;;;;;;;;;;;;;
PROV956;Rovno;;;;;;;;;;;;;
PROV959;Zhitomir;;;;;;;;;;;;;
PROV960;Cherkassy;;;;;;;;;;;;;
PROV961;Chelm;;;;;;;;;;;;;
PROV969;Starodub;;;;;;;;;;;;;
PROV971;Elisavetgrad;;;;;;;;;;;;;
PROV974;Priluki;;;;;;;;;;;;;
PROV975;Tor;;;;;;;;;;;;;
PROV981;Arkhagelsk;;;;;;;;;;;;;
PROV1020;Nizhny Novgorod;;;;;;;;;;;;;
PROV1028;Vyatka;;;;;;;;;;;;;
PROV1068;Ulala;;;;;;;;;;;;;
PROV1116;Astarabad;;;;;;;;;;;;;
PROV1137;Jahrom;;;;;;;;;;;;;
PROV1138;Kangan;;;;;;;;;;;;;
PROV1141;Hajjiabad;;;;;;;;;;;;;
PROV1145;Bunpoor;;;;;;;;;;;;;
PROV1158;al-Nefud;;;;;;;;;;;;;
PROV1185;Shu;;;;;;;;;;;;;
PROV1186;Alma Ata;;;;;;;;;;;;;
PROV1188;Qaratal;;;;;;;;;;;;;
PROV1189;Bishkek;;;;;;;;;;;;;
PROV1190;Naryn;;;;;;;;;;;;;
PROV1191;Khiva;;;;;;;;;;;;;
PROV1192;Nukus;;;;;;;;;;;;;
PROV1193;Ak-Mechet;;;;;;;;;;;;;
PROV1194;Aqtau;;;;;;;;;;;;;
PROV1195;Tashkent;;;;;;;;;;;;;
PROV1196;Dashhowuz;;;;;;;;;;;;;
PROV1197;Turkestan;;;;;;;;;;;;;
PROV1198;Bukhoro;;;;;;;;;;;;;
PROV1199;Samarkand;;;;;;;;;;;;;
PROV1200;Qarshi;;;;;;;;;;;;;
PROV1201;Khojand;;;;;;;;;;;;;
PROV1202;Kokand;;;;;;;;;;;;;
PROV1203;Osh;;;;;;;;;;;;;
PROV1204;Ashqabat;;;;;;;;;;;;;
PROV1205;Kyzyl-Su;;;;;;;;;;;;;
PROV1206;Merv;;;;;;;;;;;;;
PROV1207;Kulob;;;;;;;;;;;;;
PROV1208;Khorug;;;;;;;;;;;;;
PROV1211;Sheberghan;;;;;;;;;;;;;
PROV1304;Vellore;;;;;;;;;;;;;
PROV1398;Bangko;;;;;;;;;;;;;
PROV1399;Palembang;;;;;;;;;;;;;
PROV1400;Indragiri;;;;;;;;;;;;;
PROV1401;Siak;;;;;;;;;;;;;
PROV1402;Riouw;;;;;;;;;;;;;
PROV1403;The Lampongs;;;;;;;;;;;;;
PROV1404;Bangka;;;;;;;;;;;;;
PROV1405;Kota Radja;;;;;;;;;;;;;
PROV1406;Medan;;;;;;;;;;;;;
PROV1407;Tapaktoean;;;;;;;;;;;;;
PROV1408;Padang;;;;;;;;;;;;;
PROV1409;Siboga;;;;;;;;;;;;;
PROV1410;Bencoolen;Benkoeloe;;;;;;;;;;;;
PROV1411;Nias;;;;;;;;;;;;;
PROV1413;Batavia;;;;;;;;;;;;;
PROV1414;Preanger;;;;;;;;;;;;;
PROV1415;Tjeribon;;;;;;;;;;;;;
PROV1416;Djokjakarta;;;;;;;;;;;;;
PROV1426;Pontianak;;;;;;;;;;;;;
PROV1428;Kapoea;;;;;;;;;;;;;
PROV1438;Karangasam;;;;;;;;;;;;;
PROV1440;Soembawa;;;;;;;;;;;;;
PROV1442;Lombok;;;;;;;;;;;;;
PROV1443;Koepang;;;;;;;;;;;;;
PROV1444;Maarjalinn;;;;;;;;;;;;;
PROV1445;Sorbian;;;;;;;;;;;;;
PROV1446;Dili;;;;;;;;;;;;;
PROV1594;Kashgar;;;;;;;;;;;;;
PROV1716;Tabelbala;;;;;;;;;;;;;
PROV1717;Kherrata;;;;;;;;;;;;;
PROV1718;Tanezrouft;;;;;;;;;;;;;
PROV1719;Tawendert;;;;;;;;;;;;;
PROV1720;Taghit;;;;;;;;;;;;;
PROV1721;Igilgili;;;;;;;;;;;;;
PROV1722;Adrar;;;;;;;;;;;;;
PROV1739;Western Libyan Desert;;;;;;;;;;;;;
PROV1740;Isuknen;;;;;;;;;;;;;
PROV1758;Eastern Libyan Desert;;;;;;;;;;;;;
PROV1774;Eddaxla;;;;;;;;;;;;;
PROV1779;Kiffa;;;;;;;;;;;;;
PROV1782;Zouerat;;;;;;;;;;;;;
PROV1801;El Hodh;;;;;;;;;;;;;
PROV1804;Hamdallahi;;;;;;;;;;;;;
PROV1807;Ogan;;;;;;;;;;;;;
PROV1808;Dosso;;;;;;;;;;;;;
PROV1809;Lulama;;;;;;;;;;Temp, don't actually know where Lulama is;;;
PROV1810;Say;;;;;;;;;;Temp, till something better is found;;;
PROV1812;Djambi;;;;;;;;;;;;;
PROV1813;Zemmouri;;;;;;;;;;;;;
PROV1814;Bilma;;;;;;;;;;;;;
PROV1817;Kutum;;;;;;;;;;;;;
PROV1972;Mpongwe;;;;;;;;;;;;;
PROV2244;Cocos Islands;;;;;;;;;;;;;
PROV2564;Southern Libyan Desert;;;;;;;;;;;;;
PROV2586;Rub'al-Khali;;;;;;;;;;;;;
NEJ_1157;Rub'al-Khali;;;;;;;;;;;;;
PROV2599;Fairbanks;;;;;;;;;;;;;
PROV2607;Taklimakan;;;;;;;;;;;;;
PROV2609;Tawdenni;;;;;;;;;;;;;
PROV2619;Kunduz;;;;;;;;;;;;;
PROV2629;Sambalioeng;;;;;;;;;;;;;
PROV2622;Soppeng;;;;;;;;;;;;;
PROV2637;San Kuew Jong;;;;;;;;;;;;;
PROV2640;Bandjarmasin;;;;;;;;;;;;;
PROV2649;Wadjo;;;;;;;;;;;;;
PROV2654;Chardzhou;;;;;;;;;;;;;
PROV2664;Oskemen;;;;;;;;;;;;;
PROV2666;Sambas;;;;;;;;;;;;;
PROV2667;Igdir;;;;;;;;;;;;;
PROV2668;Kussurkund;;;;;;;;;;;;;
PROV2673;Kyzylkum Desert;;;;;;;;;;;;;
PROV2680;Balikpapan;;;;;;;;;;;;;
PROV2802;Coast of Atjeh;;;;;;;;;;;;;
PROV2803;Billiton Strait;;;;;;;;;;;;;
PROV2807;Flores Sea;;;;;;;;;;;;;
PROV2810;Savoe Sea;;;;;;;;;;;;;
PROV2811;Biak Bay;;;;;;;;;;;;;
PROV2813;Celebes Sea;;;;;;;;;;;;;
PROV2814;Karimata Strait;;;;;;;;;;;;;
PROV2852;Molucca Sea;;;;;;;;;;;;;
PROV2853;Halmahera Sea;;;;;;;;;;;;;
PROV2856;Palau Sea;;;;;;;;;;;;;
PROV2857;Coast of New Guinea;;;;;;;;;;;;;
PROV2862;Java Trench;;;;;;;;;;;;;
PROV3077;Arafure Sea;;;;;;;;;;;;;
